library.prep.pool,skip.lib.prep.,Extraction.date,Extraction.conc.,unique_ID,aluminum_band,prev_band,prev_band_2,tissue_number,tissue_number_2,tissue_number_3,tissue_number_4,color_band_lr,color_band_2,sex,age,date_banded,year,plot,longitude,latitude,gps_certainty,pedigree_info,bled,blood_hemat,blood_plasma,blood_whole,feather,freezer_storage_box_location,tissue_notes,mass,bill_depth,bill_length_culmen,bill_length_nares,bill_width,tail,tarsus1,tarsus2,wing_left,wing_right,banders,percent_pine,percent_oak,percent_other,habitat,region,mol.sex
NA,,9-Jan-25,67.9,M_139,1833-00615,1783-74627,,F10-031,,,,YWO;AYO,NA,M,AHY,9/29/10,2010,SZ Off-plot,-119.71364,33.98669,Trap Setup,NA,Yes,Yes,Yes,Yes,Yes,1.V5.D4,original band 1783-74627,116.51,10.42,33.52,24.63,9.44,156,47.26,NA,NA,142,KL,0,0.50230989,0.49769011,oak,central,M
NA,,19-Dec-25,37.5,M_14,1363-74586,NA,,F09-115,F10-165,,,BBG,NA,M,AHY,11/5/09,2009,SZ CPC,-119.7168035,33.97658828,Estimate,NA,Yes,Yes,Yes,Yes,Yes,1.V3.D6,NA,112.92,10.29,34.32,24.72,9.9,156,46.79,46.74,NA,138,KL,0,0.60282728,0.39717272,oak,,M
NA,,9-Jan-25,26.3,M_140,1833-00636,NA,,F16-054,,,,BWU,APU,M,HY,12/31/16,2016,SZ PZ,-119.769103,34.00838369,Location,NA,Yes,No,No,Yes,Yes,1.W6.F9,NA,NA,10.14,31.74,23.59,9.18,143,45.47,45.92,NA,129,KLR,0,0.44279244,0.55720756,oak,west,M
NA,,9-Jan-25,74.5,M_141,1833-00687,1603-79269,,832,F11-154,,,RUY,NA,M,SY,3/21/09,2009,SZ PZ,-119.7566076,34.01094734,Estimate,NA,No,NA,NA,Yes,Yes,1.V1.D9,original band 1603-79269,121.94,NA,32.94,23.4,NA,147,46.46,46.56,NA,133,KL,0,0.40264963,0.59735037,oak,,M
NA,,9-Jan-25,133,M_142,1833-00696,NA,,S17-037,,,,PRY,AUU,M,SY,5/27/17,2017,SZ BV,-119.7889522,34.01321003,Trap Setup,NA,Yes,No,No,Yes,Yes,1.W7.E1,NA,117.9,10.62,34.81,25.12,9.69,145,46.8,46.7,NA,135,ARG,0,0.65629209,0.34370791,oak,west,M
NA,,9-Jan-25,168,M_143,1893-09062,NA,,F19-092,,,,;,NA,M,AHY,11/21/19,2019,SZ CP,-119.60465,34.0152278,Trap Setup,NA,Yes,NA,NA,Yes,Yes,1.W13.B2,NA,117.8,10.8,37.09,28.04,9.7,157,44.79,NA,NA,140,CIM,0.17172881,0.72687703,0.10139416,pine,east,M
NA,,9-Jan-25,103,M_144,1893-09064,NA,,F19-094,,,,;,NA,M,AHY,11/21/19,2019,SZ CP,-119.60483,34.0177122,Trap Setup,NA,Yes,NA,NA,Yes,Yes,1.W13.B4,NA,114.7,10.18,36.35,26.55,8.91,156,45.88,NA,NA,137,ARR,0.13356078,0.44190382,0.4245354,pine,east,M
NA,,9-Jan-25,131,M_145,1893-09114,NA,,F19-110,,,,RKO;ARO,NA,M,AHY,11/25/19,2019,SZ CP,-119.60609,33.9978697,Trap Setup,NA,Yes,NA,NA,Yes,Yes,1.W13.D2,NA,119.6,10.62,37.26,25.96,9.53,158,48.27,NA,NA,139,CIM,0.06235529,0.45214488,0.48549983,pine,east,M
NA,,9-Jan-25,101,M_146,1893-09137,NA,,S20-062,,,,RUK;ARO,NA,M,ASY,4/30/20,2020,SZ IST,-119.60157,34.0132286,Trap Setup,NA,Yes,NA,NA,Yes,Yes,1.W14.G8,NA,120.8,10.72,36.08,26.54,9.32,153,45.87,45.82,NA,140,MAY,0.06232936,0.67116344,0.2665072,pine,east,M
NA,,9-Jan-25,125,M_147,1893-09143,NA,,S20-074,,,,BRB;ARO,NA,M,ASY,5/17/20,2020,SZ IST,-119.60705,34.0178726,Trap Setup,NA,Yes,NA,NA,Yes,Yes,1.W14.I1,NA,125.8,10.98,35.07,25.76,9.63,150,45.93,45.84,NA,141,MAY,0.0495633,0.47698256,0.47345415,pine,east,M
